objectid,cat,man,bran,year,circa,xd,gd,cd,td,s,storfor,omit,locbox,locbag,expos,backp,manid,branid,mansafe,bransafe,xdsafe,gdsafe,cdsafe,tdsafe,ssafe,backpsafe
617022180,4942,Agfa Gevaert,Multicontrast Highspeed,1990,1,[texture unspecified],Semi Matte,[base color unspecified],Medium Weight,312,Not exposed - package open,0,100.0,A,,,http://viaf.org/viaf/122636463,,Agfa_Gevaert,Multicontrast_Highspeed,[texture_unspecified],Semi_Matte,[base_color_unspecified],Medium_Weight,312,
2003543531,4950,Agfa Gevaert,Portriga Rapid,1990,1,Fine Grained,Matte,White,Double Weight,118,Not exposed - package open,0,104.0,C,,,http://viaf.org/viaf/122636463,,Agfa_Gevaert,Portriga_Rapid,Fine_Grained,Matte,White,Double_Weight,118,
1481769817,4993,Agfa Gevaert,Agfa Color Signum Paper,1990,1,[texture unspecified],Glossy,[base color unspecified],Medium Weight,310,Not exposed - package open,1,106.0,B,,A13,http://viaf.org/viaf/122636463,,Agfa_Gevaert,Agfa_Color_Signum_Paper,[texture_unspecified],Glossy,[base_color_unspecified],Medium_Weight,310,A13
971893403,5018,Agfa Gevaert,Multicontrast Classic,1990,1,Fine Grained,Matte,White,Double Weight,118,Not exposed - package sealed,0,107.0,E,,,http://viaf.org/viaf/122636463,,Agfa_Gevaert,Multicontrast_Classic,Fine_Grained,Matte,White,Double_Weight,118,
192081435,5019,Agfa Gevaert,Multicontrast Premium,1990,1,[texture unspecified],Semi Matte,[base color unspecified],Medium Weight,312,Not exposed - package open,0,107.0,E,,,http://viaf.org/viaf/122636463,,Agfa_Gevaert,Multicontrast_Premium,[texture_unspecified],Semi_Matte,[base_color_unspecified],Medium_Weight,312,
624528833,5020,Agfa Gevaert,Multicontrast Premium,1990,1,[texture unspecified],Glossy,[base color unspecified],Medium Weight,310,Package only,0,107.0,E,,,http://viaf.org/viaf/122636463,,Agfa_Gevaert,Multicontrast_Premium,[texture_unspecified],Glossy,[base_color_unspecified],Medium_Weight,310,
1382911959,5072,Agfa Gevaert,Multicontrast Premium,1990,1,[texture unspecified],Glossy,[base color unspecified],Medium Weight,310,Not exposed - package open,0,111.0,,,,http://viaf.org/viaf/122636463,,Agfa_Gevaert,Multicontrast_Premium,[texture_unspecified],Glossy,[base_color_unspecified],Medium_Weight,310,
50574712,5309,Arista,Bromide,1990,1,[texture unspecified],Glossy,White,Single Weight,[not specified],Not exposed - package open,0,125.0,A,,,,,Arista,Bromide,[texture_unspecified],Glossy,White,Single_Weight,[not_specified],
1886861761,5310,Arista,Bromide,1990,1,[texture unspecified],Glossy,White,Single Weight,[not specified],Not exposed - package open,0,125.0,A,,,,,Arista,Bromide,[texture_unspecified],Glossy,White,Single_Weight,[not_specified],
1023189150,5311,Arista,Classic,1990,1,[texture unspecified],Glossy,White,Double Weight,[not specified],Not exposed - package open,0,125.0,D,,,,,Arista,Classic,[texture_unspecified],Glossy,White,Double_Weight,[not_specified],
1464843489,5312,Arista,RC,1990,1,[texture unspecified],Glossy,White,Medium Weight,[not specified],Not exposed - package sealed,0,117.0,A,,,,,Arista,RC,[texture_unspecified],Glossy,White,Medium_Weight,[not_specified],
992056203,5324,Oriental,Seagull,1990,1,Smooth,Glossy,Pure White,Medium Weight,RP-F,Not exposed - package open,0,117.0,A,,,,,Oriental,Seagull,Smooth,Glossy,Pure_White,Medium_Weight,RP-F,
433981999,5325,Oriental,Seagull,1990,1,Smooth,Luster,Pure White,Medium Weight,RP-R,Not exposed - package open,0,117.0,A,,,,,Oriental,Seagull,Smooth,Luster,Pure_White,Medium_Weight,RP-R,
527324074,5326,Oriental,Seagull,1990,1,Smooth,Glossy,Pure White,Medium Weight,RP-F,Not exposed - package open,0,117.0,A,,,,,Oriental,Seagull,Smooth,Glossy,Pure_White,Medium_Weight,RP-F,
354888603,5329,Agfa Gevaert,AgfaColor,1990,1,Fine Grained,Luster,[base color unspecified],Medium Weight,319,Not exposed - package open,1,125.0,D,,,http://viaf.org/viaf/122636463,http://vocab.getty.edu/aat/300139737,Agfa_Gevaert,AgfaColor,Fine_Grained,Luster,[base_color_unspecified],Medium_Weight,319,
1991695168,5361,Konica,PC Paper,1990,1,[texture unspecified],Glossy,[base color unspecified],[weight unspecified],G,Not exposed - package sealed,1,116.0,A,,,http://www.wikidata.org/entity/Q354375,,Konica,PC_Paper,[texture_unspecified],Glossy,[base_color_unspecified],[weight_unspecified],G,
124668986,5368,Arista,Classic,1990,1,[texture unspecified],Glossy,White,Double Weight,[not specified],Not exposed - package open,0,121.0,A,,,,,Arista,Classic,[texture_unspecified],Glossy,White,Double_Weight,[not_specified],
1298826448,5373,Ilford,Multigrade ,1990,1,[texture unspecified],Glossy,[base color unspecified],Double Weight,1K,Not exposed - package open,0,120.0,C,,,http://viaf.org/viaf/131332975,,Ilford,Multigrade,[texture_unspecified],Glossy,[base_color_unspecified],Double_Weight,1K,
1127757694,5374,Ilford,Multigrade III,1990,1,[texture unspecified],Pearl,[base color unspecified],Medium Weight,44M,Not exposed - package open,0,120.0,B,,,http://viaf.org/viaf/131332975,,Ilford,Multigrade_III,[texture_unspecified],Pearl,[base_color_unspecified],Medium_Weight,44M,
495831914,5376,Ilford,Multigrade ,1990,1,[texture unspecified],Glossy,[base color unspecified],Double Weight,1K,Not exposed - package open,0,120.0,C,,,http://viaf.org/viaf/131332975,,Ilford,Multigrade,[texture_unspecified],Glossy,[base_color_unspecified],Double_Weight,1K,
1959027777,5383,Ilford,Multigrade III,1990,1,[texture unspecified],Pearl,[base color unspecified],Medium Weight,44M,Not exposed - package open,0,126.0,B,,,http://viaf.org/viaf/131332975,,Ilford,Multigrade_III,[texture_unspecified],Pearl,[base_color_unspecified],Medium_Weight,44M,
1526111651,5385,Ilford,Multigrade III,1990,1,[texture unspecified],Pearl,[base color unspecified],Medium Weight,44M,Not exposed - package open,0,128.0,B,,,http://viaf.org/viaf/131332975,,Ilford,Multigrade_III,[texture_unspecified],Pearl,[base_color_unspecified],Medium_Weight,44M,
247307874,5429,Photon,Unibrom,1990,0,Smooth,Glossy,White,Double Weight,[not specified],Not exposed - package sealed,0,131.0,A,,,,,Photon,Unibrom,Smooth,Glossy,White,Double_Weight,[not_specified],
