"PhotoID","Year","DateUncertain","Catalog Number","Secondary Catalog Number","Manufacturer","Brand","Format","Texture2","Reflectance2","BaseColor2","Weight2","SurfaceDesignation2","Omit_from_Paperbase","LocationBox","LocationBag","Exposure","BackprintingPrimary","ProcessName","Link","AATA_ID"
2145794820,"1960",1,4882,"b","Ilford","Bromide","Sample book","[texture unspecified]","Glossy","[base color unspecified]","Double Weight","1K",0,11,"20",3,,"	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
2145794821,"1960",1,4882,"c","Ilford","Bromide","Sample book","[texture unspecified]","Matte","[base color unspecified]","Single Weight","5P",0,11,"20",4,,"	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
2145794822,"1960",1,4882,"d","Ilford","Bromide","Sample book","[texture unspecified]","Matte","[base color unspecified]","Double Weight","5K",0,11,"20",5,,"	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
2145794823,"1960",1,4882,"e","Ilford","Bromide","Sample book","[texture unspecified]","Semi Matte","[base color unspecified]","Single Weight","24P",0,11,"20",6,,"	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
2145794824,"1960",1,4882,"f","Ilford","Bromide","Sample book","[texture unspecified]","Semi Matte","[base color unspecified]","Double Weight","24K",0,11,"20",7,,"	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
2145794825,"1960",1,4882,"g","Ilford","Bromide","Sample book","Stipple","Velvet","[base color unspecified]","Single Weight","26P",0,11,"20",8,,"	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
2145794826,"1960",1,4882,"h","Ilford","Bromide","Sample book","Stipple","Velvet","[base color unspecified]","Double Weight","26K",0,11,"20",9,,"	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
2145794827,"1960",1,4882,"i","Ilford","Bromide","Sample book","Rough","Luster","Cream","Double Weight","33K",0,11,"20",10,,"	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
2145794828,"1960",1,4882,"j","Ilford","Bromide","Sample book","Rayon","Rayon","Cream","Double Weight","35K",0,11,"20",11,,"	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
2145794829,"1960",1,4882,"k","Ilford","Bromide","Sample book","[texture unspecified]","Matte","Cream","Double Weight","55K",0,11,"20",12,,"	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
2145794830,"1960",1,4882,"l","Ilford","Bromide","Sample book","Rough","Luster","Cream","Double Weight","83K",0,11,"20",13,,"	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
2145794831,"1960",1,4882,"m","Ilford","Bromide","Sample book","Rayon","Rayon","Cream","Double Weight","85K",0,11,"20",14,,"	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
2145794832,"1960",1,4882,"n","Ilford","Bromide","Sample book","[texture unspecified]","Luster","[base color unspecified]","Light Weight","23P",0,11,"20",15,,"	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
